case,p,device,cuda_name,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_case_p
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.0071529014187412,0.0046737625177716,0.002826067085127,0.001826868779403,0.0034914406105929,0.0023112339350585,0.0028684526638603,0.002851447555737,0.0028799314912807,0.0019203051178689,0.0019082359531742,0.0020105140848716,1.4776460935649611,4.865702725908758,5.485293900004763
highdim_poly2,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.0071529014187412,0.0046600960312881,0.0027915622015789,0.0019312133116043,0.0034914406105929,0.0023112339350585,0.0028170424216984,0.002803282240289,0.0028260326712074,0.0018721588478677,0.0018274894946622,0.0020661172324335,0.9045025351131863,-3.154351128052543,6.487962100000004
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,0,750,0.0018204559564288,0.0015609391101446,0.0010832798367376,0.0007333245797454,0.0019883515770887,0.0012260020943302,0.0010338774759169,0.0010131414957027,0.0010589030267493,0.0007176244024634,0.0006880887079111,0.0007277736970636,-4.778357394517889,-2.18779869081055,2.3150347999981022
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,1,1250,0.0018204559564288,0.0012783920785437,0.0008173147351126,0.000522693106168,0.0019883515770887,0.0012260020943302,0.0008780629628155,0.0008717934618252,0.0008815309285879,0.0005672953978894,0.000552660637763,0.0005892456987291,6.918436407802913,7.862269267006336,2.840639900001406
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,2,1750,0.0018204559564288,0.0012472745125739,0.0007616271957324,0.0005286153912917,0.0019883515770887,0.0012260020943302,0.0008233391061832,0.0008154432162512,0.000837117335364,0.0005571563102788,0.000546205439333,0.0005753420747538,7.495321185084532,5.122605355172819,3.858496699998796
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,3,2250,0.0018204559564288,0.0012471152711342,0.0007586192390273,0.0004974610997758,0.0019883515770887,0.0012260020943302,0.000813595585325,0.0008068691523334,0.0008158618453258,0.0005333527140289,0.0005057051346826,0.0005437993019216,6.757208039141072,6.729433132908863,4.850421000002825
highdim_smooth,20,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,270,271,0.1,750,500,4,2750,0.0018204559564288,0.0012278805919995,0.0007574457961183,0.0004806100359833,0.0019883515770887,0.0012260020943302,0.0007846737710708,0.0007819340274889,0.0007853136500314,0.0005521320113952,0.0005302255130882,0.0005710275318953,3.46997388677453,12.953781692744736,5.9346272999973735
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.0445046512585222,0.0318308148805517,0.050413386231335,0.012746716009706,0.0310684620331712,0.005797277317204,0.0514615341974586,0.0514131659122658,0.0520365732443733,0.0132358826056838,0.013040854568245,0.0134960777681,2.036760043145592,3.695761065210237,2.5047647999963374
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.0445046512585222,0.0711992551881927,0.0976977272098689,0.0247329519691026,0.0310684620331712,0.005797277317204,0.1490239919453287,0.1425986800477582,0.1555352299477078,0.0381782665866953,0.03698780827258,0.0390386892535905,34.4416117602657,35.21719506845877,5.979495300001872
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.0445046512585222,0.0310047525274163,0.0605522057658406,0.0167299881351435,0.0310684620331712,0.005797277317204,0.0643526490903649,0.0626144847720039,0.0656712005869347,0.0167690781717382,0.0162247572095819,0.0176270367605805,5.905651714799879,0.2331078440591924,17.362247099998058
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.0445046512585222,0.0143619341331569,0.0441852338634582,0.0118897063132437,0.0310684620331712,0.005797277317204,0.0468904510556625,0.0466559071298633,0.0475011663345847,0.0123785196172642,0.0119072990151593,0.0125424097130223,5.769228342446651,3.9488833813274526,28.776681299998017
highdim_poly2,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.0445046512585222,0.0118362873673545,0.0420035276137668,0.0109136012480039,0.0310684620331712,0.005797277317204,0.0420241424226114,0.0414486108109899,0.0426814422859322,0.011079875841505,0.0108704735532594,0.0112731793785157,0.0490546806103393,1.500690042737488,38.26765319999686
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,0,750,0.0083477815924735,0.0192379682136365,0.0217104983306724,0.005248260117049,0.0216743938716378,0.0044354311448876,0.0224735361367361,0.0218031832736669,0.0238461517006833,0.0056338657377542,0.0054896028433163,0.0059198456479157,3.395272561563906,6.844423325907506,2.8472608999945805
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,1,1250,0.0083477815924735,0.0734498224086168,0.0796678036692865,0.0196965909761588,0.0216743938716378,0.0044354311448876,0.0626708491622889,0.0595910272037396,0.0651286082525454,0.0159237881313569,0.0151216368938537,0.0167086811499557,-27.120989637435944,-23.692872661201207,6.290729399996053
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,2,1750,0.0083477815924735,0.0058311863144263,0.0104777216390427,0.0026781091285,0.0216743938716378,0.0044354311448876,0.012939337647186,0.0127574537152986,0.0139721865079367,0.0033737059393834,0.0032140287828014,0.0036300140412509,19.02428142199869,20.618181411819084,17.41282549999596
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,3,2250,0.0083477815924735,0.0035203533010053,0.008090606985762,0.0022141759871752,0.0216743938716378,0.0044354311448876,0.0087343784329626,0.0084651148488941,0.0088052232352897,0.0023116312582325,0.002302584904181,0.0023460643322768,7.370546766912036,4.215865774882593,29.569291100000555
highdim_smooth,50,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,10000,7500,2500,"128,64,32",tanh,800,2,True,1425,1426,0.1,750,500,4,2750,0.0083477815924735,0.0027113787541739,0.0074035926322593,0.0018999684952227,0.0216743938716378,0.0044354311448876,0.007562580953188,0.0075273723838867,0.0077219716172105,0.002008639918751,0.0019739717445234,0.0020402430867212,2.102302400632929,5.410199335070075,39.68841640000028
