case,case_label,dataset_family,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,criteria,dopt_mse_vs_nn,dopt_shape_vs_nn,aopt_mse_vs_nn,aopt_shape_vs_nn,iopt_mse_vs_nn,iopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,aopt_gain_vs_random_median_pct,aopt_shape_gain_vs_random_median_pct,iopt_gain_vs_random_median_pct,iopt_shape_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0009304945291121559,0.0008872865866632743,9.414507331386213e-05,0.0001778209107355184,0.0007166522562678107,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.00025617303782140584,0.0006124193025736326,0.00028560711689849995,0.0005446346908573761,0.0005452290155739662,0.0011444701043040603,0.00019432887472182992,0.00044469383096358973,0.00017472887795791858,0.00015678388791843495,0.00018861352859876778,0.00018454458542225446,0.0004367746558268176,0.00035676659243638544,0.0005057600256026447,0.00044011043269164636,-46.61173402779027,-40.214019839204816,-63.45730610556837,-24.694664306100506,-212.04287576623614,-162.02758997945293,-11.217376882962515,-1.8131031714239592,2.393041600007564
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0009304945291121559,0.0008872865866632743,9.414507331386213e-05,0.0001778209107355184,0.0007166522562678107,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.000209760711567764,0.0005060751932775846,0.00023318440947590346,0.000553207345228127,0.0005130274078232244,0.0010823557215258691,0.00021578288749522317,0.00040621702885970873,0.00014770852634234615,0.0001331870790207234,0.0001734777088199869,0.00015954708912795012,0.0003694539657945468,0.00032043922892417747,0.0004511931088327565,0.00038549872177388975,-42.00988714869351,-36.979228843631574,-57.86794117453223,-49.7364750269768,-247.32416640199463,-192.96091576609754,-46.08695438142827,-9.950647839467457,2.5502168999810237
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0013329766887078187,0.0012699251056546824,0.00014538799654274724,0.0003278264767560196,0.000873944728824759,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.001093807183317465,0.00086266327061129,0.000779940421568964,0.0010243823492408375,0.0018685941459068304,0.003837400038861261,0.0005832142534093949,0.0010747684655507152,0.0004514229585661036,0.000388219056354397,0.0005723382691578813,0.0005419960259454374,0.0009735925894678655,0.0008349983755717613,0.001248923080171596,0.0011322793922798908,-142.30207227204963,11.393812982615843,-72.7737605651163,-5.216736479139812,-313.9342296285103,-294.1484436481445,-29.194637167305835,-10.392013782494915,2.209336300002178
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0013329766887078187,0.0012699251056546824,0.00014538799654274724,0.0003278264767560196,0.000873944728824759,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0007935796287515341,0.0006972645653760825,0.0004940040865534026,0.0008642008279120372,0.0010592905299895768,0.0019119535987346505,0.0005339734262621167,0.0006732699439498105,0.000372206904561119,0.00030205640962573615,0.00044019528673565605,0.0003847871140776974,0.0007846167736428224,0.0006246601731364278,0.0009739248476255875,0.0008742719150313111,-113.2092712485463,11.133104873756475,-32.72297759653291,-10.14304778366152,-184.59722724343868,-143.679929229377,-43.46145106892677,14.191237484772385,2.3617697000154294
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0013329766887078187,0.0012699251056546824,0.00014538799654274724,0.0003278264767560196,0.000873944728824759,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.0006602562934971221,0.0006476896273491648,0.0003876104175130301,0.0007307855373851776,0.0008126941426029289,0.0013969670804124612,0.00042535411284753353,0.0006566585579434211,0.0003026833429196101,0.00025713052320389807,0.00036556904877968737,0.0003088018895133135,0.0006656356578209799,0.0005805363559266786,0.0008238948848841138,0.0007152038195799045,-118.13433376559477,2.696074085117838,-28.05806020715709,-9.787618616687666,-168.49648704282114,-109.86962822658309,-40.52775707598275,1.3486506878171372,2.5201009000011254
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.2767064010432359,0.0012705274303280573,0.27510175006067966,0.0006878108402571488,0.490384438916069,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.2758184414741704,0.001319393526148219,0.27525716606920847,0.0010508473728595526,0.2763424255328053,0.637708765156062,0.2754255706267372,0.6335563560551588,0.27551472976807495,0.2750226654162148,0.2765026463676416,0.27565243874968287,0.0021781951918031263,0.0014037125097311996,0.635753898823651,0.26813667779739636,-0.110234289960143,39.42721335933098,0.09348454766222299,51.75605121092691,-0.3004179723628919,-29176.93383751168,0.032360934536159916,-28986.29853005488,2.3918260000064038
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.2767064010432359,0.0012705274303280573,0.27510175006067966,0.0006878108402571488,0.490384438916069,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.27517161741352375,0.6351012141318525,0.27519740528463826,0.0009644731106879195,0.2761516923857688,0.0017971555382059775,0.2750136487382418,0.6374761121117095,0.2755185916219674,0.2751089005566927,0.27626962679756467,0.27557003693967647,0.001721183636690647,0.0011397829075170895,0.6331672698399111,0.2548913105628651,0.12593495284693032,-36799.09667936269,0.11657519568401038,43.964543345163875,-0.22978513358186414,-4.413933522015298,0.18326998579406983,-36937.077190519725,2.544911500008311
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.2767064010432359,0.0012705274303280573,0.27510175006067966,0.0006878108402571488,0.490384438916069,0.005,True,used_close,training_data_region,7500.0,124.0,4.0,"dopt,aopt,iopt,latin",0.27466366114453705,0.000895872710789425,0.2751825015980452,0.6323677046969935,0.2759835631666716,0.001626768183535627,0.2749282208676034,0.6313090257513012,0.27534216259754113,0.2749737468355534,0.27631415319720604,0.27550743409200557,0.001670194273666646,0.0009721866271078088,0.6358732572497199,0.2806095749029191,0.24642119703106302,46.36116738547553,0.05798639699409486,-37761.92508663862,-0.23294673183343662,2.600062209271257,0.15033721171965791,-37698.538511652456,2.701304699992761
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0015540933914637552,0.001418273442274005,0.00021208266857105019,0.0004895365885987141,0.0017620198638342577,0.005,True,used_close,training_data_region,7500.0,62.0,2.0,"dopt,aopt,iopt,latin",0.001265727432970847,0.001453893915898825,0.0006648694507445482,0.0012997872464650085,0.0006980541061961376,0.0011840976047471949,0.0003430068448551341,0.0008035940376529081,0.0005605525790613154,0.0004368617983511097,0.0006443948281609242,0.0005766578465524837,0.0011656965336565457,0.0008845622098516796,0.0015033044254109886,0.0012655790816167947,-125.79994816728815,-24.723191149781023,-18.609649759870663,-11.503054949288414,-24.529639550508936,-1.5785472942026195,38.80915766554439,31.063187163111657,2.6139428000024054
highdim_smooth,Smooth,iterative_dopt,5,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",softplus,1000,2,True,30,31,0.0015540933914637552,0.001418273442274005,0.00021208266857105019,0.0004895365885987141,0.0017620198638342577,0.005,True,used_close,training_data_region,7500.0,93.0,3.0,"dopt,aopt,iopt,latin",0.0008966539085079039,0.0012034146255450007,0.0006488632743569898,0.0011899945627077922,0.0006016251168267135,0.0010284042059839503,0.00038511148536287705,0.0009093056735477917,0.0003836475851401469,0.00033022583485620334,0.0004783198862950762,0.0004193832860123716,0.0008529311033954603,0.0007688279784000261,0.0010950466439070337,0.0009477635313478818,-133.71811611439054,-41.09165684711104,-69.13002961297393,-39.51825158802456,-56.81712595869441,-20.57295154203471,-0.3815742049296136,-6.6095104197640415,2.768927099998109
