case,case_label,p,device,cuda_name,data_seed,init_seed,n,n_train,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,oracle_mse_vs_y,full_fpr_mse_vs_y,full_fpr_mse_vs_nn,shape_nn_fpr,abs_rmse_gap,close_threshold,is_close,status,candidate_domain,n_candidates,budget,budget_multiplier,criteria,dopt_mse_vs_nn,dopt_shape_vs_nn,aopt_mse_vs_nn,aopt_shape_vs_nn,iopt_mse_vs_nn,iopt_shape_vs_nn,latin_mse_vs_nn,latin_shape_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_mse_mean,random_shape_median,random_shape_q25,random_shape_q75,random_shape_mean,dopt_gain_vs_random_median_pct,dopt_shape_gain_vs_random_median_pct,aopt_gain_vs_random_median_pct,aopt_shape_gain_vs_random_median_pct,iopt_gain_vs_random_median_pct,iopt_shape_gain_vs_random_median_pct,latin_gain_vs_random_median_pct,latin_shape_gain_vs_random_median_pct,elapsed_sec_run
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0004996514343610693,0.0009897311178784741,0.000607122506685464,0.0008205997456434379,0.00910710808604382,0.005,True,used_close,training_data_region,7500.0,258.0,3.0,"dopt,aopt,iopt,latin",0.002088766336040964,0.0021353761802178415,0.0026048087524330184,0.002789485593472256,0.0020178203956721587,0.00238508878926818,0.0011326577180071557,0.0010972294765838786,0.001095612575178981,0.0009795515390305025,0.0012159699108072776,0.0011265930332865263,0.001237181465536069,0.0010698435230243296,0.0015118949768528518,0.0013190829987767816,-90.64826229287662,-72.60007846080897,-137.7490740289735,-125.47101384707342,-84.17280354257748,-92.78407054333975,-3.3812265090260554,11.312163401312308,4.759798699989915
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0004996514343610693,0.0009897311178784741,0.000607122506685464,0.0008205997456434379,0.00910710808604382,0.005,True,used_close,training_data_region,7500.0,344.0,4.0,"dopt,aopt,iopt,latin",0.0016539952519228813,0.0019512964592414838,0.0018940277967492577,0.002328241791504369,0.0018474508064170404,0.001966988815060424,0.0008989990255717825,0.001086682101253904,0.0010341138140095934,0.0009494796541509972,0.0011618221001655866,0.001074221809392832,0.0012643767440479261,0.0009736989736429983,0.0015530330696227764,0.0012932284823598164,-59.943250879688705,-54.32872112107749,-83.15467515180944,-84.14145961356887,-78.65062639999718,-55.56983504481994,13.065756071271036,14.05393160152008,5.349126599990996
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0005171099780137913,0.00099261227604469,0.0006227633607332445,0.0005921722681286386,0.008765697601663954,0.005,True,used_close,training_data_region,7500.0,172.0,2.0,"dopt,aopt,iopt,latin",0.0024927080606875394,0.0026481683637766557,0.0036983595830532394,0.004162973445261151,0.0024927771990942995,0.003102430491668084,0.0013453349548843282,0.0013980161113582392,0.0016308094531381036,0.001464752388749498,0.0020537630080012313,0.0017828113532839258,0.002018506341171688,0.0016283076993971574,0.0024531736682714086,0.002117472118901076,-52.85096955324349,-31.19445353039943,-126.78060738099283,-106.24029562595571,-52.855209067959755,-53.69931856975033,17.50507992852555,30.740068394002222,3.866467999992892
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0005171099780137913,0.00099261227604469,0.0006227633607332445,0.0005921722681286386,0.008765697601663954,0.005,True,used_close,training_data_region,7500.0,258.0,3.0,"dopt,aopt,iopt,latin",0.0019406909616178276,0.0021358063159197978,0.002530257690862404,0.002875419440848412,0.0019106222731178442,0.0021706540084638114,0.0010787915599155219,0.001108395131015951,0.0011093918222886089,0.0010147000348769127,0.0012703659200037222,0.001168858707927246,0.0013491607650931456,0.0011436387956341848,0.0016251649435585097,0.0013772759003158417,-74.93287066189998,-58.30628722532874,-128.07610801048037,-113.12652392836921,-72.22249476982306,-60.88920346819826,2.7582916836326135,17.845585219087827,4.472536599991145
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0005171099780137913,0.00099261227604469,0.0006227633607332445,0.0005921722681286386,0.008765697601663954,0.005,True,used_close,training_data_region,7500.0,344.0,4.0,"dopt,aopt,iopt,latin",0.0015985408860172733,0.00181660298111744,0.0018205064041231494,0.002073620320814151,0.0017351963784151682,0.001794235233105572,0.0008247962732929232,0.0011799720607507092,0.0009903486823143548,0.0009217306285189486,0.0010786484539200107,0.0010092732481910365,0.0012223227033259791,0.001004679404329368,0.001331237848198147,0.0012142745020297433,-61.411926381487035,-48.618934768568494,-83.82479187721958,-69.64589753358615,-75.21065150106244,-46.788996737391905,16.716577906132084,3.4647677295064945,5.0433750999800395
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0006072641846757182,0.0008932257369264892,0.0005035082987650505,0.0007113408988847874,0.005244151486542975,0.005,True,used_close,training_data_region,7500.0,172.0,2.0,"dopt,aopt,iopt,latin",0.0030796927376710434,0.0026537932058703162,0.0024199689287408483,0.0026620482025288897,0.007266941762909855,0.009136472678527244,0.0009921033315765145,0.0013102536624530437,0.0011612164741631697,0.0009730005349577016,0.0013833576260266645,0.0012916772480312455,0.0014166025664500584,0.0012141833512386993,0.001649252516315776,0.0015634310180249902,-165.21262884170008,-87.33505562682986,-108.3994657830529,-87.91778764031618,-525.8042255339836,-544.9566656809629,14.563446725859322,7.507321143962075,3.7335092999855988
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0006072641846757182,0.0008932257369264892,0.0005035082987650505,0.0007113408988847874,0.005244151486542975,0.005,True,used_close,training_data_region,7500.0,258.0,3.0,"dopt,aopt,iopt,latin",0.0018908119661761027,0.0018986069538429714,0.001896734424619661,0.002399931245648014,0.004068968446506732,0.004634421143096538,0.0012599373579985538,0.0016672955721791483,0.0008282520028578709,0.0007441006055365449,0.0009184661246763986,0.000905146718134541,0.00097372070108925,0.000915203341376299,0.0011423300277320241,0.0010982628856723256,-128.28945292639014,-94.9847581261341,-129.00450805733132,-146.47018831615037,-391.27179076740157,-375.9497397880373,-52.12004965290265,-71.22934434012059,4.383117799996398
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0006072641846757182,0.0008932257369264892,0.0005035082987650505,0.0007113408988847874,0.005244151486542975,0.005,True,used_close,training_data_region,7500.0,344.0,4.0,"dopt,aopt,iopt,latin",0.0014767358249313898,0.0015990758317150655,0.0016570709110403513,0.0020288517732897637,0.003034208542922397,0.003319076750220003,0.0006909461492634068,0.0008617629088022047,0.0007258256647019394,0.0006495353765297696,0.0008638339175850501,0.0008309748800387387,0.0008868752671098815,0.0007692046423708565,0.0010842279366906683,0.0010379735733983425,-103.45599456555618,-80.3044792224366,-128.30150429040398,-128.76404930101566,-318.0354443884808,-274.2439183174085,4.805494919066534,2.8315546998522234,4.990551299997605
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0006158708133172297,0.0008997212646302378,0.00048676401369854007,0.0005460916313261444,0.005178609435130002,0.005,True,used_close,training_data_region,7500.0,172.0,2.0,"dopt,aopt,iopt,latin",0.002871973373725656,0.0025109902599339136,0.0022569750052610694,0.002622863296914318,0.0062850100968290905,0.007441070301406765,0.001220724387541954,0.0015069279987751172,0.0010631878350414467,0.000921741655423117,0.001460206584531428,0.0013995488102376684,0.0013033179893224315,0.0011326224514299394,0.0017553456600014478,0.0016048053053069554,-170.12850213938881,-92.66136741036824,-112.28374995215071,-101.24507744099283,-491.1476683312577,-470.93283161657473,-14.817377259999013,-15.622435285999423,3.941518300009193
highdim_strong,Strong nonlinear,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,2,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.0006158708133172297,0.0008997212646302378,0.00048676401369854007,0.0005460916313261444,0.005178609435130002,0.005,True,used_close,training_data_region,7500.0,258.0,3.0,"dopt,aopt,iopt,latin",0.0016034477778040538,0.0016340275721699576,0.0017563821654086973,0.001981663145943901,0.003759429394477495,0.004197637461036922,0.0011273608706631629,0.001480928146662605,0.0008016334543902791,0.0006896547744347818,0.0009639498285413828,0.0009451541224094087,0.0009934307454715578,0.0008576637742847391,0.0012310260951164812,0.00118320396459106,-100.02256255929751,-64.48328981345588,-119.10040752286196,-99.47672799307745,-368.97112063978284,-322.5395157308529,-40.63296192155944,-49.07210728208779,4.549297799996566
