case,activation,hidden,n_hidden,q,data_seed,init_seed,special,n,p,max_order,NN_mse_vs_y,act_io_mean,TPR_mse_vs_NN,TPR_mse_vs_y,FPR_mse_vs_y,FPR_mse_vs_NN,FPR_r2_vs_y,shape_NN_FPR_in,mahal_NN_FPR,shape_NN_FPR_ext,abs_rmse_gap,NN_FPR_log10,well_specified
highdim_poly4,softplus,64,1,3,0,13,True,10000,20,1,0.0012426479737530575,0.032123020935099084,0.0001301589218903787,0.001369188687750845,0.0045876464544307265,0.00416217529431677,0.8425791732517511,0.002968663480900853,0.03410577622654312,0.04281811922808955,0.03248095468561598,-0.5672418257441713,False
highdim_poly4,softplus,64,1,3,0,14,True,10000,20,1,0.0009381053714964772,0.04401758892755882,0.0009117571588485486,0.0019496045170822177,0.0045876464544307265,0.004005177413440474,0.8425791732517511,0.0028443263033168876,0.0012437604198094019,0.03990878786702827,0.037103661193849655,-0.6893383190515333,False
highdim_poly4,softplus,64,1,3,0,15,True,10000,20,1,0.0010201870909118753,0.031136489760061857,0.0004363690650247432,0.001623293494862817,0.0045876464544307265,0.0040067359092916975,0.8425791732517511,0.0028195336071370433,0.04232729389729621,0.04116269401868193,0.03579179932554319,-0.6529101179270005,False
highdim_poly4,softplus,64,1,3,0,16,True,10000,20,1,0.0009664332852471068,0.043744791174451916,0.0013030647612828528,0.002473498614382134,0.0045876464544307265,0.004038633913799833,0.8425791732517511,0.0028419375676377663,0.03407924403199597,0.04064622946921308,0.03664465694186929,-0.6764180625335817,False
highdim_poly4,softplus,64,1,3,0,17,True,10000,20,1,0.0009243906441508657,0.04569131671996223,0.0011860690992337411,0.0020523765584302602,0.0045876464544307265,0.003970041135080079,0.8425791732517511,0.002799049557238378,0.03029040786282434,0.040388840311168045,0.03732837380576135,-0.6957344004556161,False
highdim_poly4,softplus,64,1,3,0,18,True,10000,20,1,0.001017590329853379,0.039491942145601144,0.0008602566388209348,0.0018082459598003481,0.0045876464544307265,0.004220521678278275,0.8425791732517511,0.0029941238375164837,0.03112032648537653,0.0420146431367901,0.035832475369425534,-0.6540169705179443,False
highdim_poly4,softplus,64,1,3,0,19,True,10000,20,1,0.0010147096252481514,0.02867060926844759,0.00011400148709611889,0.0011807866913639555,0.0045876464544307265,0.003939550095031241,0.8425791732517511,0.0027944493698213984,0.033389402030032315,0.0428479416460135,0.0358776599166092,-0.6552481617589692,False
highdim_poly4,softplus,64,1,3,0,20,True,10000,20,1,0.0009814815654572186,0.03192336616066816,0.0003093101813535212,0.0013983254896576432,0.0045876464544307265,0.003942356387107182,0.8425791732517511,0.002804481607489477,0.01711603946167469,0.04159014911585476,0.03640356087402759,-0.6697077948113921,False
highdim_poly4,softplus,64,1,3,0,21,True,10000,20,1,0.0009465386972551741,0.0345163498159983,0.0005069895742143107,0.0015961761441460184,0.0045876464544307265,0.003948102813300787,0.8425791732517511,0.0028058324333009223,0.013900077261695842,0.040793434885099095,0.03696629802706133,-0.6854515678630915,False
highdim_poly4,softplus,64,1,3,0,22,True,10000,20,1,0.0009703792084919563,0.03681203463102675,0.00027047406310771105,0.0012955677801258414,0.0045876464544307265,0.00398523739479114,0.8425791732517511,0.00281939217583295,0.02937257265297707,0.041529849787608986,0.036581256823059446,-0.674648459055899,False
highdim_poly4,softplus,64,1,3,0,23,True,10000,20,1,0.0010245188123810675,0.04793951857375298,0.0005320673604658397,0.0018262570893394347,0.0045876464544307265,0.004021561321158167,0.8425791732517511,0.0028251158598822357,0.04538912824050826,0.04053450380867483,0.03572406164150116,-0.6510700043511839,False
highdim_poly4,softplus,64,1,3,0,24,True,10000,20,1,0.0010702101184908842,0.03244536804714167,0.00012300691308150696,0.0012505597173970643,0.0045876464544307265,0.004124218885834792,0.8425791732517511,0.002963829722080847,0.005687831966055448,0.04331724774396041,0.03501810099364603,-0.6321208889758747,False
highdim_poly4,softplus,64,1,3,0,25,True,10000,20,1,0.0009201151073002408,0.044122737411657065,0.0012526460725235129,0.00226809060240527,0.0045876464544307265,0.003984747329482135,0.8425791732517511,0.002822073640166977,0.013981509169539635,0.039124586446816136,0.037398767853916264,-0.6977477803386427,False
highdim_poly4,softplus,64,1,3,0,26,True,10000,20,1,0.0009959002516440212,0.04155757435033498,0.00039562102211165227,0.00139276406799823,0.0045876464544307265,0.004054662078606645,0.8425791732517511,0.0028620723410153156,0.04112597137536044,0.040237656693210375,0.036174279745680736,-0.663374099639049,False
highdim_poly4,softplus,64,1,3,0,27,True,10000,20,1,0.0011357510906535612,0.0321008747884242,0.00013840570867882285,0.001327196419722026,0.0045876464544307265,0.0041641639898437575,0.8425791732517511,0.002995396280083164,0.01025484139659512,0.04378482866360575,0.03403126068109748,-0.6063067792108121,False
highdim_poly4,softplus,64,1,3,0,28,True,10000,20,1,0.0012755887768558386,0.03509506540350306,0.00013649397384438212,0.0014384940598082259,0.0045876464544307265,0.004181548105223215,0.8425791732517511,0.003005491472117567,0.0030463548724097523,0.04376171675032374,0.03201678134224293,-0.5558792522576821,False
highdim_poly4,softplus,64,1,3,0,29,True,10000,20,1,0.0009557326895202084,0.04257944569146087,0.0009204201335708095,0.0017923424982605625,0.0045876464544307265,0.004045286623513526,0.8425791732517511,0.0028224555984033717,0.04704233751726029,0.039994049578291065,0.03681724041254638,-0.6812535010401756,False
highdim_poly4,softplus,64,1,3,0,30,True,10000,20,1,0.0009719953026783877,0.0282476030617463,0.00023481151439937867,0.0012396536938175191,0.0045876464544307265,0.003927414479790052,0.8425791732517511,0.0027830159346882463,0.029041132009788365,0.04162938826601448,0.03655532785560917,-0.6739257756132128,False
highdim_poly4,softplus,64,1,3,0,31,True,10000,20,1,0.0009159017627142373,0.0396183888124232,0.0007485485441919449,0.00171636094781704,0.0045876464544307265,0.004010984878873733,0.8425791732517511,0.0028464056851250892,0.011800654228919998,0.04057539914195592,0.03746829812674199,-0.6997410468996039,False
highdim_poly4,softplus,64,1,3,0,32,True,10000,20,1,0.0013384265057820761,0.03838848337715915,0.0002288144811564121,0.001583591423416998,0.0045876464544307265,0.004107844131820162,0.8425791732517511,0.002946377405553703,0.0023982995570095817,0.042489725086531184,0.03114765522921105,-0.5349954130752347,False
highdim_poly4,softplus,64,1,3,0,33,True,10000,20,1,0.0009913598908116562,0.03032465817945621,0.00022778107808509143,0.0013025104449281566,0.0045876464544307265,0.00389159324057277,0.8425791732517511,0.002779396387024689,0.002154924107385894,0.04199650788119137,0.036246298945706544,-0.6653585978376104,False
highdim_poly4,softplus,64,1,3,0,34,True,10000,20,1,0.0010116934697725105,0.043658243853892054,0.000460861891744094,0.0015834387342328908,0.0045876464544307265,0.004237066316042232,0.8425791732517511,0.0030282466648355825,0.0037349909622802356,0.04282743933952152,0.03592503782970721,-0.6565409950063901,False
highdim_poly4,softplus,64,1,3,0,35,True,10000,20,1,0.0010203677409008503,0.03777581247312846,0.00038787348287023214,0.0014270873082425847,0.0045876464544307265,0.003991255997327582,0.8425791732517511,0.0028238189542230158,0.04151476628922486,0.04068624557246202,0.03578897152477977,-0.6528332218864241,False
highdim_poly4,softplus,64,1,3,0,36,True,10000,20,1,0.001006937822609961,0.029996268859457567,0.00013529186127051064,0.0011923915449445798,0.0045876464544307265,0.003994507902170759,0.8425791732517511,0.0028450255230809563,0.021836546272341457,0.04341044411544942,0.03599988345623519,-0.658587287610085,False
highdim_poly4,softplus,64,1,3,0,37,True,10000,20,1,0.0010006562880422504,0.04183288525808272,0.0009911722083157176,0.0022007484925875916,0.0045876464544307265,0.003993445923667999,0.8425791732517511,0.0028204474374607757,0.03154016248339656,0.04011759316246663,0.03609901533365856,-0.6613050129596934,False
highdim_poly4,softplus,64,1,3,0,38,True,10000,20,1,0.0009392089374214358,0.037429120986383804,0.0005133947987933832,0.0015120423977761522,0.0045876464544307265,0.003881510825952981,0.8425791732517511,0.002752562872404983,0.013507960488410478,0.04020773216702521,0.03708565114843476,-0.6888277251200271,False
