case,activation,hidden,n_hidden,q,seed,special,NN_mse_vs_y,FPR_mse_vs_y,FPR_mse_vs_NN,TPR_mse_vs_NN,TPR_mse_vs_y,LTPR_mse_vs_NN,LTPR_mse_vs_y,LTPR_n_terms,shape_NN_LTPR,shape_LTPR_FPR,u_coverage,act_pair_mean,act_io_scaled_mean,act_io_unscaled_mean,act_io_scaled_sum,act_io_unscaled_sum,io_shape,shape_NN_FPR_in,shape_NN_FPR_ext,mahal_NN_FPR,distill_resid,abs_rmse_gap,NN_FPR_log10,well_specified
paper_poly4,softplus,4,1,3,0,True,0.000500163936521858,0.0015298232667193276,0.0027874580954782087,0.0030263485009774365,0.0035337635276231575,0.0006710963836801929,0.0011210769486304226,20,0.0006738361365215954,0.004664447930894869,0.935,0.1009345993598641,0.10528000816796684,0.009028634624381974,0.10528000816796684,0.009028634624381974,0.02101563977778874,0.0039335521821050635,0.029569922914434967,0.004218898189337993,0.001975687450900359,0.016748610022019966,-0.48552888726701837,False
paper_poly4,softplus,4,1,3,0,True,0.00045042813871987164,0.0015298232667193276,0.0027164340642898046,0.0014689567605374626,0.002012256725330323,0.0002788443126250696,0.0006698246575693089,20,0.00029657107338613596,0.004187325015766176,0.975,0.08024882862396276,0.08315189468579812,0.04905755072977725,0.08315189468579812,0.04905755072977725,0.021025547731871055,0.0038220076093730113,0.028867011350013846,0.003440729861546661,0.0019746611662383676,0.017889662865791755,-0.5310157481941798,False
paper_poly4,softplus,4,1,3,0,True,0.00016607226280029863,0.0015298232667193276,0.0010025110815655488,0.0007748757080866342,0.0012583727964255303,0.00041186819253076886,0.0006495401501842153,20,0.0004100743213084681,0.0017613769988601752,0.91,0.1519913441074006,0.14143645572443803,0.0632436345016947,0.14143645572443803,0.0632436345016947,0.021427826139796723,0.001490154782628197,0.0189337005225003,0.001488548643275632,0.0011410800485778154,0.026226052466543574,-0.9643441585786575,False
paper_poly4,softplus,4,1,3,0,True,0.0002428240841254592,0.0015298232667193276,0.0008657276164523991,0.00136083225205037,0.0018872218151913614,0.00010235076437297208,0.0004147050566023751,20,0.00010524584927042074,0.0015095455533251573,0.915,0.0885567651375562,0.09030913255622491,0.0408284558795307,0.09030913255622491,0.0408284558795307,0.021443168864757146,0.0012996260544580176,0.01642399795942319,0.000709684665294454,0.00107799224910214,0.023530141486418417,-0.7993495023626038,False
paper_poly4,softplus,4,1,3,0,True,0.00044126409920863807,0.0015298232667193276,0.0026556853768060938,0.0016548729397612117,0.0021406048375003216,0.002952179082538548,0.003327431444902242,20,0.00333801782654225,0.005212297647509597,0.805,0.2477648313569459,0.20197958723807913,0.09293784011450162,0.20197958723807913,0.09293784011450162,0.021040079482883476,0.0037701568904212326,0.02919225819922043,0.002328713043238362,0.0017694307032355059,0.018106668093410494,-0.5399426665843247,False
paper_poly4,softplus,4,1,3,0,True,0.00017609662609174848,0.0015298232667193276,0.0011565782982901418,0.0002896346145441295,0.000577994652981706,0.00022347231430523188,0.0004496714051814909,20,0.0002241568280899037,0.0019787596249661457,0.99,0.0788284103353025,0.07906993015898836,0.09214729141019301,0.07906993015898836,0.09214729141019301,0.021435778075585714,0.0017139590499944766,0.019538219340625218,0.0019089884243548713,0.0011789890291594052,0.02584281483408647,-0.9388902264993089,False
paper_poly4,softplus,4,1,3,0,True,0.0001496817567385733,0.0015298232667193276,0.0010794741618245715,0.0005282268559815454,0.0008724450539954072,0.00021855092541352223,0.00039754758422127216,20,0.00022193238307800334,0.0018110148327782237,0.97,0.11234640502297706,0.10033007605969646,0.005529437719640996,0.10033007605969646,0.005529437719640996,0.021430308173042617,0.0015934252027534092,0.019500279063076324,0.001482240571263302,0.0011372894774599267,0.026878505639956737,-1.0094723901032094,False
paper_poly4,softplus,4,1,3,0,True,0.00019397714640945196,0.0015298232667193276,0.0010443430026247753,0.002788125613881262,0.003103399873271898,0.0013701042111753047,0.0019031440453479564,20,0.0011482224535602735,0.0024117641707682,0.875,0.17529148297615282,0.17009786072051303,0.056566669518075,0.17009786072051303,0.056566669518075,0.021348439600765975,0.0015441008590973027,0.019219754098293802,0.0010384395026139387,0.001334541068244054,0.025185387371729887,-0.896890695565994,False
paper_poly4,softplus,4,1,3,0,True,0.000524145201779902,0.0015298232667193276,0.0030654223426225826,0.0001037036720082817,0.0005502807273790027,9.908308110664088e-05,0.0005549788867615753,20,0.00012306308208537707,0.004512469562783707,1.0,0.0396375101397093,0.0448674900361204,0.026260153493697917,0.0448674900361204,0.026260153493697917,0.02092617141435587,0.00423973439887328,0.02875472963432162,0.0032037379171313005,0.002124895742749358,0.016218737579222733,-0.4651896472607282,False
paper_poly4,softplus,4,1,3,0,True,0.0004575743805617094,0.0015298232667193276,0.002674745864110422,0.0022517043321752367,0.0027868579867105937,0.00035137721619200293,0.0007676651987560846,20,0.0003644422639434245,0.004210399196779674,0.955,0.10091569614819826,0.10512383043315253,0.0024455707816192695,0.10512383043315253,0.0024455707816192695,0.021017242773869703,0.0037803451169604214,0.028949825608032147,0.0032399020342011716,0.0019858536763850145,0.017721966926068214,-0.5241795612570979,False
paper_poly4,softplus,4,1,3,0,True,0.0004334129043854773,0.0015298232667193276,0.0027779196088996093,0.00021680486856515016,0.0007927987649666706,0.0001345113729770215,0.000490668416198228,20,0.00015370919976737146,0.004088833518254467,0.985,0.07159915977736758,0.07439752089471809,0.006722061042699502,0.07439752089471809,0.006722061042699502,0.020978140454503136,0.003871619270823007,0.028234892096991735,0.0027801776270807823,0.0019769613223042143,0.018294384086879185,-0.547739423908537,False
paper_poly4,softplus,4,1,3,0,True,0.0004271349171176553,0.0015298232667193276,0.0027373205904846817,0.00037111945371540097,0.000965779950813196,0.00020042013940123004,0.0005456244310006312,20,0.0002261630120083334,0.004148980112996906,0.985,0.07092388796529314,0.07304340418175638,0.4199600430714937,0.07304340418175638,0.4199600430714937,0.02099454789904754,0.003834729249885996,0.027742063614092923,0.002202978065472604,0.0020185722176568467,0.018445712618249496,-0.5540761864476842,False
paper_poly4,softplus,4,1,3,0,True,6.728625885443762e-05,0.0015298232667193276,0.001358128800710375,0.0005571281807879897,0.0007696381212586149,0.0002990286777256105,0.00037999932618067986,20,0.00033879752604628526,0.002148553063993512,0.965,0.0898361956486977,0.09783250653987688,0.010633248656434245,0.09783250653987688,0.010633248656434245,0.021399500078954845,0.0019626616529079544,0.019428631075405316,0.004872579793825333,0.0012167720699224707,0.030910135051769445,-1.3567148797084572,False
paper_poly4,softplus,4,1,3,0,True,0.00012678667553700507,0.0015298232667193276,0.0010039889756982307,0.0008313988378870507,0.0012468317487892777,9.78270191696162e-05,0.0002394933250304777,20,0.00010197521884452315,0.0016199780347428165,0.975,0.1269290040314928,0.11336712828894505,0.02058921331102337,0.11336712828894505,0.02058921331102337,0.021436256111441194,0.0014888665632327518,0.01815471308564844,0.0025278252443861043,0.0010258657778784487,0.027852996279491612,-1.0815676473272955,False
paper_poly4,softplus,4,1,3,0,True,0.0005295135197229683,0.0015298232667193276,0.0027709755741985296,0.0039908540214227475,0.004370758938020186,0.0009318505558512414,0.0014307120485430056,20,0.0009167847337777444,0.00492906881834258,0.93,0.14490789586689595,0.15807693977592557,0.0002816951074091481,0.15807693977592557,0.0002816951074091481,0.020993899066486382,0.003928786293371245,0.030069357373293946,0.004763732666141122,0.002015914732349635,0.016101794464307612,-0.4607642085757907,False
paper_poly4,softplus,4,1,3,0,True,0.0004559867375064641,0.0015298232667193276,0.0026731857087951257,0.002309977679233511,0.002838625079119564,0.00033364176120163067,0.0007490933662611332,20,0.00034400809882559005,0.004175989696042869,0.945,0.1165649882910435,0.12329493680847164,0.0034287637174252508,0.12329493680847164,0.0034287637174252508,0.021038650888509293,0.0037789292333324735,0.02930944249495125,0.003344349089611858,0.0020243025238314586,0.017759109263439272,-0.5256890504387813,False
paper_poly4,softplus,4,1,3,0,True,0.0001891575229819864,0.0015298232667193276,0.001049341697316567,0.00247437270614189,0.002786921125535435,0.0013712187686495039,0.0016989807549703897,20,0.0012610524202409578,0.0026089550627902574,0.875,0.18146206922822855,0.17420556357839595,0.10110755069530661,0.17420556357839595,0.10110755069530661,0.021392514999543904,0.0015603167250341906,0.020760724619093025,0.0008169344022198191,0.0012154927857635453,0.025359500281559325,-0.9078176434244919,False
