case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,initial_n,initial_fit_n,initial_valid_n,fpr_distance,tpr_distance,combined_distance,initial_nn_valid_mse,initial_fpr_valid_mse,initial_tpr_valid_mse,initial_fpr_mimic_mse,initial_tpr_mimic_mse,distance_norm,raw_dopt_weight,dopt_weight,normalization_low,normalization_high,p_dim,source_prefix
highdim_strong,Strong nonlinear,20,10000,7500,2500,4,1,375,281,94,0.0209033549536555,0.9636628150497676,0.4922830850017115,0.0090610964475832,0.0320749256452458,13197.297670659267,0.0420735579186432,13193.827665308758,0.5974557774637481,0.4025442225362519,0.5616537446485637,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,0,0,375,281,94,0.0755976219224675,0.9521789019322676,0.5138882619273676,0.0241492736097736,0.1710461087380394,113151.58010214347,0.1671387624800452,113133.84286845634,0.6909779209516199,0.3090220790483801,0.500864351381447,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,0,1,375,281,94,0.1054690780420058,0.9297825829763078,0.5176258305091568,0.0302342982328119,0.1909049487711807,286.99237282620135,0.1971608481329196,287.083286806499,0.7071567019171564,0.2928432980828436,0.4903481437538483,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,1,0,375,281,94,0.0477733843623308,0.83581886753232,0.4417961259473254,0.0155335644132967,0.0788173771442102,23.118183483941053,0.0863310089949339,22.761741471946625,0.3789133121463885,0.6210866878536114,0.7037063471048474,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,1,1,375,281,94,0.0814465696870392,0.9307231161809396,0.5060848429339894,0.0239413621855706,0.1391094003361835,376.0947870858908,0.1431180585831014,376.0045737368196,0.6571993282881146,0.3428006717118854,0.5228204366127255,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,2,0,375,281,94,0.0655742961050326,0.9444340474493124,0.5050041717771725,0.0168708475120643,0.1223677435318421,1682591.190551467,0.1161133314572954,1682600.9280169876,0.6525214363486592,0.3474785636513408,0.5258610663733715,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,2,1,375,281,94,0.0815613561382602,0.9658336510504472,0.5236975035943537,0.0147469244641791,0.191701109482701,5743806567.76631,0.184259155340047,5743807733.493411,0.733439100966198,0.266560899033802,0.4732645843719713,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,3,0,375,281,94,0.0446703009511145,0.8624612399932274,0.4535657704721709,0.0116783757508395,0.1052517966024759,47.14713537322469,0.0963901576281737,47.45361082541271,0.4298604711463569,0.570139528853643,0.6705906937548679,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,3,1,375,281,94,0.0852115190211457,0.881810053344252,0.4835107861826989,0.0169720279527552,0.2104576550425856,55.718836043736886,0.2344439182737119,55.54922788975546,0.5594832030343315,0.4405167969656685,0.5863359180276845,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,4,0,375,281,94,0.1477523683134358,0.9575539939408452,0.5526531811271405,0.035776156534437,0.2887767132582948,741.3119565499142,0.3091957410459539,741.0559309881307,0.8587792931955007,0.1412207068044992,0.3917934594229245,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_local,Local interior,20,10000,7500,2500,4,1,375,281,94,0.0939118036811876,0.8341121039696315,0.4640119538254095,0.0184736588172624,0.2100161853873625,27.6777618668377,0.2142389780809983,27.574108965624536,0.4750787751585807,0.5249212248414192,0.6411987961469224,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,0,0,375,281,94,0.2024971898091613,0.9519465925929026,0.577221891201032,0.0451437430634086,0.451063191300018,3569.649635904683,0.4617279547960552,3565.224385773027,0.9651296571267431,0.0348703428732568,0.3226657228676169,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,0,1,375,281,94,0.2614873948519208,0.9557581253141988,0.6086227600830597,0.0476972530313547,0.6659433947948823,813.8605221789587,0.6515884093312564,814.7123745200781,1.0,0.0,0.3,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,1,0,375,281,94,0.2415454397211249,0.938538898893596,0.5900421693073604,0.0766154137465183,0.4952195715074575,497.319332936967,0.5272086819312043,496.643958133167,1.0,0.0,0.3,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,1,1,375,281,94,0.1390055556361093,0.9148514487048504,0.5269285021704799,0.0435670991121314,0.2521109414044171,207.3272547124125,0.2521021115938642,208.45626937253303,0.7474250967062633,0.2525749032937366,0.4641736871409287,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,2,0,375,281,94,0.2646847465275961,0.9419773475477652,0.6033310470376806,0.1192839115157859,0.6756615015048493,3518.307129711659,0.6491722787933256,3509.8422145127606,1.0,0.0,0.3,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
highdim_highfreq,High-frequency,20,10000,7500,2500,2,1,375,281,94,0.2136593411008718,0.955836893996662,0.5847481175487669,0.099850224786501,0.5744231327837399,4470.602329399128,0.5593809893403264,4484.417843817017,0.997708368369752,0.0022916316302479,0.3014895605596611,0.3542608231506064,0.5852775227246262,20,measure_weighted_sampling_grand_mean_p20
