case,case_label,p,device,cuda_name,data_seed,init_seed,n_original,n_train_pool,n_eval,hidden,activation,epochs,degree,include_special,n_fullpr_features,n_design_params,initial_fraction,initial_n,batch_size,iteration,selected_n,oracle_mse_vs_y,surrogate_mse_vs_y,dopt_mse_vs_nn,dopt_shape_vs_nn,pilot_mse_fullpr_vs_nn,pilot_shape_fullpr_vs_nn,random_mse_median,random_mse_q25,random_mse_q75,random_shape_median,random_shape_q25,random_shape_q75,mse_gain_vs_random_median_pct,shape_gain_vs_random_median_pct,elapsed_sec_path
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,3,2250,0.0032451574138624762,0.0026393418489377013,0.0005995295826578881,0.0007909866651185698,0.0005864151220464854,0.0007876951205681242,0.0006180169546450575,0.0006114760027688439,0.0006259848076978269,0.0008418312072015669,0.0007742914580158937,0.0008804461744525865,2.991402072098039,6.03975495895615,0.6424473999977636
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,4,2750,0.0032451574138624762,0.0026403027152479205,0.0005944006310729903,0.0007262365794327133,0.0005864151220464854,0.0007876951205681242,0.0006103306581678974,0.0006028817163435023,0.0006156108060580241,0.0008098558684713139,0.0007648693689581109,0.0008508448437112031,2.610065033063579,10.325206285958092,0.8685289999993984
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,0,1,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,5,3250,0.0032451574138624762,0.0026324845864269873,0.0005919801104417483,0.0007915410988662067,0.0005864151220464854,0.0007876951205681242,0.0006094165069365437,0.0006051670323788088,0.0006148286307292726,0.0008223029282074996,0.0007678475100576763,0.0008845085192708125,2.8611624884343736,3.7409363734541516,1.1344014999995125
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,0,375,0.006259438590831428,0.00540876474035082,0.0027521801022225324,0.003942520567607169,0.002595424989844613,0.003520643723700722,0.0024880409032692736,0.0023748083234599276,0.0026338820193474405,0.0033877476173463173,0.003066401698107134,0.0035308192864759937,-10.616352753935082,-16.375864229679998,0.15148209999824758
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,1,875,0.006259438590831428,0.004611097132366777,0.00203434219349463,0.0025783755102322557,0.002595424989844613,0.003520643723700722,0.0021425682955491746,0.002067722103818751,0.002203872164564947,0.0028006751364058266,0.002749341124937084,0.0029098363645678827,5.051232312144559,7.937358506308352,0.291648599999462
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,2,1375,0.006259438590831428,0.004542462397069751,0.001968782441350958,0.0024455558386189853,0.002595424989844613,0.003520643723700722,0.001989076658559001,0.0019746366119630927,0.0020421691914095917,0.0027069402051868065,0.0026252124021715565,0.002801968506100349,1.0202833118933277,9.65608202453009,0.4388322999984666
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,3,1875,0.006259438590831428,0.004515651326599631,0.0019378704420707094,0.0023762884039566076,0.002595424989844613,0.003520643723700722,0.001973704304862082,0.0019642246698178918,0.002004979449098338,0.0026427642464862703,0.002591868640872897,0.0027506664591821026,1.8155638969372616,10.08322414244706,0.5899807999994664
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,4,2375,0.006259438590831428,0.004492909204129627,0.0019208529579493963,0.0024517254981913953,0.002595424989844613,0.003520643723700722,0.001966743934399147,0.001957147746882159,0.0019774043246276007,0.0025863238310621928,0.0025260919096209795,0.0026627194165193702,2.3333478063462656,5.204233563262588,0.8022703999995429
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.05,375,500,5,2875,0.006259438590831428,0.004485245395939625,0.001920186667479238,0.002300299812415258,0.002595424989844613,0.003520643723700722,0.0019365101373949882,0.0019256137441903676,0.0019449775652815805,0.002566986883660254,0.0025393933597343396,0.0027025227534922033,0.8429323245221233,10.389109229289417,1.0124924999981886
highdim_poly2,Quadratic,10,cuda,NVIDIA GeForce RTX 4070 Ti SUPER,1,0,10000,7500,2500,"128,64,32",tanh,1000,2,True,85,86,0.1,750,500,0,750,0.006259438590831428,0.004709064908183361,0.0022222636068162066,0.0028199044866013007,0.0021543636112295204,0.0027189278974389768,0.002158716005284797,0.002132812709208363,0.0022228403981358704,0.0028065505993085387,0.002730886131883858,0.002998579265329717,-2.9437684890387295,-0.47581138555107905,0.14034320000064326
