p,case,case_label,budget,budget_multiplier,n_design_params,n_fullpr_features,shape_nn_fpr_mean,shape_nn_fpr_std,shape_nn_fpr_count,abs_rmse_gap_mean,abs_rmse_gap_std,abs_rmse_gap_count,full_fpr_mse_vs_nn_mean,full_fpr_mse_vs_nn_std,full_fpr_mse_vs_nn_count,dopt_mse_vs_nn_mean,dopt_mse_vs_nn_std,dopt_mse_vs_nn_count,latin_mse_vs_nn_mean,latin_mse_vs_nn_std,latin_mse_vs_nn_count,random_mse_median_mean,random_mse_median_std,random_mse_median_count,dopt_gain_vs_random_median_pct_mean,dopt_gain_vs_random_median_pct_std,dopt_gain_vs_random_median_pct_count,latin_gain_vs_random_median_pct_mean,latin_gain_vs_random_median_pct_std,latin_gain_vs_random_median_pct_count,dopt_shape_gain_vs_random_median_pct_mean,dopt_shape_gain_vs_random_median_pct_std,dopt_shape_gain_vs_random_median_pct_count,latin_shape_gain_vs_random_median_pct_mean,latin_shape_gain_vs_random_median_pct_std,latin_shape_gain_vs_random_median_pct_count,shape_nn_fpr_se,shape_nn_fpr_ci95,abs_rmse_gap_se,abs_rmse_gap_ci95,full_fpr_mse_vs_nn_se,full_fpr_mse_vs_nn_ci95,dopt_mse_vs_nn_se,dopt_mse_vs_nn_ci95,latin_mse_vs_nn_se,latin_mse_vs_nn_ci95,random_mse_median_se,random_mse_median_ci95,dopt_gain_vs_random_median_pct_se,dopt_gain_vs_random_median_pct_ci95,latin_gain_vs_random_median_pct_se,latin_gain_vs_random_median_pct_ci95,dopt_shape_gain_vs_random_median_pct_se,dopt_shape_gain_vs_random_median_pct_ci95,latin_shape_gain_vs_random_median_pct_se,latin_shape_gain_vs_random_median_pct_ci95
10,highdim_poly2,Quadratic,258.0,3.0,86,85,0.0017963948190346175,0.0007099624909125174,6,0.009522645688543377,0.003080510997403358,6,0.0013120634821533787,0.0005235643248392743,6,0.0017599646626632293,0.0005728800269807554,6,0.001913736740553247,0.0007459473047605442,6,0.002093544285490714,0.0008424992989099098,6,13.19744786402523,10.098565741882446,6,8.504867452477868,5.520449901295582,6,18.445162237793784,6.650461724694635,6,12.32444326582052,8.633506951906234,6,0.0002898409732085011,0.0005680883074886621,0.0012576133484450507,0.0024649221629522993,0.0002137442405635004,0.0004189387115044608,0.00023387729165578515,0.0004583994916453389,0.0003045317119446184,0.0005968821554114521,0.0003439488984969738,0.0006741398410540687,4.122722200260442,8.080535512510465,2.253714234795323,4.417279900198833,2.715039629901939,5.3214776746078005,3.5246144538235975,6.908244329494251
10,highdim_poly2,Quadratic,344.0,4.0,86,85,0.0017963948190346175,0.0007099624909125174,6,0.009522645688543377,0.003080510997403358,6,0.0013120634821533787,0.0005235643248392743,6,0.0016288181374404357,0.0005772729017590593,6,0.0017246406834865874,0.0006262694232891416,6,0.001839354116816405,0.0007337863940256818,6,9.502358351026496,7.732716223718732,6,5.072778270129519,4.6692845380565595,6,13.973080622560039,4.0765420578895,6,7.616870733066595,5.944530844926235,6,0.0002898409732085011,0.0005680883074886621,0.0012576133484450507,0.0024649221629522993,0.0002137442405635004,0.0004189387115044608,0.00023567067527424955,0.0004619145235375291,0.0002556734214275815,0.0005011199059980597,0.0002995670409266272,0.0005871514002161893,3.156868178975351,6.187461630791688,1.906227430350939,3.7362057634878405,1.6642413261374267,3.2619129992293563,2.426844555050839,4.756615327899644
10,highdim_smooth,Smooth,172.0,2.0,86,85,0.00044596802213053366,8.816687789477743e-05,6,0.004224515095573474,0.0008923524070851767,6,0.00035204199027739956,6.093829105944513e-05,6,0.0006450505773093357,0.00010906261519072263,6,0.0006708257810005393,6.854911504704232e-05,6,0.0007876587264420096,0.0001415870195545076,6,16.794306809897453,16.97424168189716,6,13.19590051334896,12.667356939230576,6,23.720102053533335,12.113532681005289,6,14.564800200872442,8.80482365169481,6,3.5993977176079046e-05,7.054819526511493e-05,0.0003643013446838366,0.0007140306355803196,2.4877953148807784e-05,4.876078817166326e-05,4.452462620513065e-05,8.726826736205608e-05,2.79850590307657e-05,5.485071570030077e-05,5.780265868500128e-05,0.0001132932110226025,6.929705148554962,13.582222091167726,5.171426815136435,10.135996557667413,4.945329008498545,9.692844856657148,3.5945542036401945,7.0453262391347815
10,highdim_smooth,Smooth,258.0,3.0,86,85,0.00044596802213053366,8.816687789477743e-05,6,0.004224515095573474,0.0008923524070851767,6,0.00035204199027739956,6.093829105944513e-05,6,0.0005206840193425149,8.392316126854237e-05,6,0.0005688858960862158,7.420144531783476e-05,6,0.0005771524419429184,8.943849308143161e-05,6,9.068861104132468,13.363430984251153,6,-0.40804281076902876,20.48157734297007,6,12.858427509926338,11.334401233357678,6,5.816101198580417,15.489435756030439,6,3.5993977176079046e-05,7.054819526511493e-05,0.0003643013446838366,0.0007140306355803196,2.4877953148807784e-05,4.876078817166326e-05,3.426148711820551e-05,6.71525147516828e-05,3.0292613200953858e-05,5.937352187386956e-05,3.65131119021585e-05,7.156569932823066e-05,5.4555978540523515,10.69297179394261,8.361568936270922,16.388675115091008,4.627249926949773,9.069409856821554,6.323535667649261,12.394129908592552
10,highdim_smooth,Smooth,344.0,4.0,86,85,0.00044596802213053366,8.816687789477743e-05,6,0.004224515095573474,0.0008923524070851767,6,0.00035204199027739956,6.093829105944513e-05,6,0.00048461096849067097,8.107444380228689e-05,6,0.00047976068128504295,5.7580372411533375e-05,6,0.0005023520099773471,8.66157571807702e-05,6,2.686350114871398,13.04920516760985,6,3.6617932754960596,7.40489875589996,6,1.282381135742212,9.777811461068252,6,2.100531028429558,10.97267947961724,6,3.5993977176079046e-05,7.054819526511493e-05,0.0003643013446838366,0.0007140306355803196,2.4877953148807784e-05,4.876078817166326e-05,3.309850308259216e-05,6.487306604188064e-05,2.3507088601281084e-05,4.6073893658510925e-05,3.53607347962825e-05,6.930704020071371e-05,5.327315701588929,10.4415387751143,3.0230372581541447,5.925153025982124,3.991774813459081,7.823878634379798,4.479577639361649,8.779972173148831
10,highdim_strong,Strong nonlinear,172.0,2.0,86,85,0.0007008282658088104,0.00013401408061270665,6,0.0067379936124248785,0.0017488238930061597,6,0.0005645851822458215,6.0962156155806524e-05,6,0.00256010402739478,0.000469557863102013,6,0.0012203907970190155,0.00018101272355610713,6,0.0013662508526797992,0.0002373812529880408,6,-94.45688462273193,61.40128721734491,6,9.242662541756287,15.355898778733984,6,-54.32244948672951,30.336203042275276,6,9.621649413660458,23.24234368460615,6,5.471101930822382e-05,0.00010723359784411869,0.0007139543646421224,0.0013993505546985598,2.4887696033599078e-05,4.877988422585419e-05,0.00019169619488526143,0.0003757245419751124,7.389813494398856e-05,0.00014484034449021758,9.691049072053744e-05,0.00018994456181225337,25.066970538761705,49.13126225597294,6.269019424954271,12.287278072910372,12.384703031173522,24.274017941100105,9.488647075614026,18.59774826820349
10,highdim_strong,Strong nonlinear,258.0,3.0,86,85,0.0007008282658088104,0.00013401408061270665,6,0.0067379936124248785,0.0017488238930061597,6,0.0005645851822458215,6.0962156155806524e-05,6,0.0017764040258978044,0.00022985758621636688,6,0.0010976628766963023,0.0003108079094420893,6,0.0010071627960066114,0.000148272281642611,6,-78.7545530038148,28.757139760000584,6,-8.940491324551608,23.987831440256684,6,-53.27552753057842,19.99522696074634,6,-8.44361220530088,20.205440378251073,6,5.471101930822382e-05,0.00010723359784411869,0.0007139543646421224,0.0013993505546985598,2.4887696033599078e-05,4.877988422585419e-05,9.383896662298179e-05,0.0001839243745810443,0.00012688679769238013,0.00024869812347706505,6.053190550377237e-05,0.00011864253478739383,11.740053145650624,23.010504165475222,9.792991177420097,19.19426270774339,8.163017224161637,15.999513759356807,8.248836492490511,16.167719525281402
10,highdim_strong,Strong nonlinear,344.0,4.0,86,85,0.0007008282658088104,0.00013401408061270665,6,0.0067379936124248785,0.0017488238930061597,6,0.0005645851822458215,6.0962156155806524e-05,6,0.0014389746993191885,0.00016826486393669752,6,0.0009787449177910033,0.00013762309499980145,6,0.0008657168225950073,0.0001267905409258431,6,-68.16122138242041,23.505273322042882,6,-16.237714741394857,30.275326124140683,6,-54.90838667220712,15.207971513817537,6,-12.740571471130435,31.265673147797195,6,5.471101930822382e-05,0.00010723359784411869,0.0007139543646421224,0.0013993505546985598,2.4887696033599078e-05,4.877988422585419e-05,6.869384304729128e-05,0.00013463993237269092,5.618439326201476e-05,0.00011012141079354893,5.176202157996391e-05,0.00010145356229672926,9.595987650609853,18.808135795195312,12.359850133416368,24.22530626149608,6.208628371939136,12.168911609000707,12.764157612790113,25.01774892106862
20,highdim_poly2,Quadratic,542.0,2.0,271,270,0.0024192766065488473,0.0005342735372330541,6,0.021566481976902547,0.004466022853886618,6,0.003431388847422561,0.0006894973349516137,6,0.00483341826258539,0.0011532566407390493,6,0.005754316584762394,0.0012282968988391876,6,0.006159969017546777,0.0011847857450056425,6,22.147053062358793,7.361696926221428,6,6.74296242286072,10.214776078384816,6,20.559841970249146,4.107577090011422,6,4.786713464198711,18.720682915670277,6,0.00021811625821547542,0.0004275078661023318,0.0018232461952717544,0.0035735625427326385,0.00028148610827338587,0.0005517127722158363,0.0004708150520478144,0.0009227975020137161,0.0005014501091331629,0.0009828422139009992,0.00048368675496450795,0.0009480260397304356,3.0054001850429732,5.890584362684227,4.170164871471764,8.173523148084657,1.6769113249456924,3.286746196893557,7.642686796638438,14.979666121411338
20,highdim_poly2,Quadratic,813.0,3.0,271,270,0.0024192766065488473,0.0005342735372330541,6,0.021566481976902547,0.004466022853886618,6,0.003431388847422561,0.0006894973349516137,6,0.004143366043666039,0.0008339736574249837,6,0.004404403117635847,0.000985844297843413,6,0.00470462036081034,0.0009204738793019236,6,12.038829169237133,2.237617305720221,6,6.865150064100372,5.006993196870808,6,11.863225150907281,1.6682860635166719,6,11.103953804302678,6.524189226228742,6,0.00021811625821547542,0.0004275078661023318,0.0018232461952717544,0.0035735625427326385,0.00028148610827338587,0.0005517127722158363,0.00034046831993564495,0.0006673179070738641,0.0004024692492581208,0.0007888397285459167,0.0003757818876416505,0.000736532499777635,0.9135034397726354,1.7904667419543654,2.0440964129867,4.006428969453932,0.681074933435369,1.334906869533323,2.6634890982706376,5.22043863261045
20,highdim_poly2,Quadratic,1084.0,4.0,271,270,0.0024192766065488473,0.0005342735372330541,6,0.021566481976902547,0.004466022853886618,6,0.003431388847422561,0.0006894973349516137,6,0.003900066878223595,0.0007740959088229709,6,0.004072224659843439,0.0007217578035494634,6,0.0042289378153283945,0.0008382078773276096,6,7.815172421746752,2.2983743360935396,6,3.247105246069531,3.4173832755605407,6,4.892300916221587,5.151828547871924,6,0.5134958966641813,7.194368806575834,6,0.00021811625821547542,0.0004275078661023318,0.0018232461952717544,0.0035735625427326385,0.00028148610827338587,0.0005517127722158363,0.0003160233314320483,0.0006194057296068146,0.0002946563894280211,0.0005775265232789214,0.0003421969329723401,0.0006707059886257866,0.9383073935562037,1.8390824913701593,1.3951408801073875,2.734476125010479,2.103225197431639,4.1223213869660125,2.937088766251127,5.756693981852209
20,highdim_smooth,Smooth,542.0,2.0,271,270,0.0005807441347499347,0.00014665986195449903,6,0.010104523102919684,0.0015139475095559056,6,0.0008541262846234089,0.00017821197956237108,6,0.0012212798473285509,0.00023911634916945726,6,0.0013395442306547,0.0003313120185163126,6,0.0014792513035065678,0.0002778529071065772,6,17.390337358873655,5.673122767744533,6,10.188094397219995,6.01598019080459,6,16.339954724641235,10.152181394545856,6,7.959459240466639,10.038106769842368,6,5.987363792259038e-05,0.00011735233032827714,0.0006180664826282215,0.001211410305951314,7.27547359965189e-05,0.00014259928255317704,9.761884077039108e-05,0.0001913329279099665,0.00013525756516941638,0.0002651048277320561,0.0001134329743266747,0.0002223286296802824,2.316042671523325,4.539443636185717,2.4560136283604384,4.813786711586459,4.144610698802383,8.123436969652671,4.098039928281877,8.03215825943248
