case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,random_final_mse,gain_vs_random_pct,p_dim,source_prefix
highdim_smooth,Smooth,20,10000,7500,2500,0,1,measure_weighted,Measure-weighted,6,3375,0.0021192990569201,0.0240086729241514,0.9314773752784766,0.477743024101314,0.5345163409329325,0.6025643783935938,301,199,0,0.0021623824660206,1.9924046637228696,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,1,random,Random,6,3375,0.0021623824660206,0.0240086729241514,0.9314773752784766,0.477743024101314,0.5345163409329325,0.6025643783935938,0,500,0,0.0021623824660206,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,1,dopt,D-optimal,6,3375,0.001916484300307,0.0240086729241514,0.9314773752784766,0.477743024101314,0.5345163409329325,0.6025643783935938,500,0,0,0.0021623824660206,11.371631502643108,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,0,1,latin,Latin hypercube,6,3375,0.0020047984020235,0.0240086729241514,0.9314773752784766,0.477743024101314,0.5345163409329325,0.6025643783935938,0,0,500,0.0021623824660206,7.287520430513974,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,0,measure_weighted,Measure-weighted,6,3375,0.0024749019355193,0.0167849835803833,0.9574018780750956,0.4870934308277394,0.574991366087681,0.5762556120430073,288,212,0,0.0029037493471273,14.768747586021387,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,0,random,Random,6,3375,0.0029037493471273,0.0167849835803833,0.9574018780750956,0.4870934308277394,0.574991366087681,0.5762556120430073,0,500,0,0.0029037493471273,0.0,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,0,dopt,D-optimal,6,3375,0.0025336296658998,0.0167849835803833,0.9574018780750956,0.4870934308277394,0.574991366087681,0.5762556120430073,500,0,0,0.0029037493471273,12.746268254650554,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,0,latin,Latin hypercube,6,3375,0.0027296595161766,0.0167849835803833,0.9574018780750956,0.4870934308277394,0.574991366087681,0.5762556120430073,0,0,500,0.0029037493471273,5.995346365651471,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,1,measure_weighted,Measure-weighted,6,3375,0.0028984529808234,0.0159213149546034,0.94434021539159,0.4801307651730968,0.544852135168525,0.5958461121404587,298,202,0,0.0026723378229292,-8.461323862349678,20,measure_weighted_sampling_grand_mean_p20
highdim_smooth,Smooth,20,10000,7500,2500,1,1,random,Random,6,3375,0.0026723378229292,0.0159213149546034,0.94434021539159,0.4801307651730968,0.544852135168525,0.5958461121404587,0,500,0,0.0026723378229292,0.0,20,measure_weighted_sampling_grand_mean_p20
