case,case_label,p,n_total,train_n,test_n,data_seed,init_seed,strategy,strategy_label,round,selected_n,test_mse,fpr_distance,tpr_distance,combined_distance,distance_norm,dopt_weight,batch_dopt_added,batch_random_added,batch_latin_added,p_dim,source_prefix
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,1,875,0.0240041731470257,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,2,1375,0.0158638206082436,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,3,1875,0.0109971332711672,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,4,2375,0.0108569101836558,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,5,2875,0.0091602477639752,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,random,Random,6,3375,0.0090236211271657,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,500,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,0,375,0.0387550908409067,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,1,875,0.0238863556290859,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,2,1375,0.0137416959498111,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,3,1875,0.0103104118157138,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,4,2375,0.0086774855890407,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,5,2875,0.0079573460526357,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,dopt,D-optimal,6,3375,0.008204157694616,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,500,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,latin,Latin hypercube,0,375,0.0376684006391423,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,0,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,latin,Latin hypercube,1,875,0.0212651627562103,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,latin,Latin hypercube,2,1375,0.0150540838226221,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,500,20,measure_weighted_sampling_grand_mean_p20
highdim_poly2,Quadratic,20,10000,7500,2500,1,1,latin,Latin hypercube,3,1875,0.01088700512999,0.0514682408731741,0.8880911473001376,0.4697796940866559,0.5000455428073337,0.6249703971752331,0,0,500,20,measure_weighted_sampling_grand_mean_p20
